rank,h_m,r_m,rel_az_deg,cam_c_az_deg,score,valid,flag_reason,pareto,pose_fidelity,absolute_placement,stability,mpjpe_aligned_mm,mpjpe_mm,registration_offset_mm,id_drops,jitter_variance,joint_visibility_both,convergence_angle_deg,convergence_ab_deg,convergence_ac_deg,convergence_bc_deg,tag_visibility_ratio,longest_blind_gap_s,tilt_deg,n_subjects
51,3.0,3.5,180.0,90.0,0.7377347076989271,True,ok,False,0.7182925774820875,0.9331963320775527,0.6398305084745762,70.70733605322424,113.46348452632493,85.492008580941,2.0,6614.09557926004,1.0,76.22739329112834,98.79741070999107,64.94238458169698,64.94238458169698,1.0,0.0,29.74488129694222,1
52,3.0,3.5,150.0,225.0,0.7373133431423108,True,ok,False,0.7658867423389013,0.9710024022371821,0.5338983050847457,62.14038637899777,77.54771787467698,53.869759692970895,4.0,8722.693375413244,1.0,79.49661325933627,94.34194717549441,89.08877823071066,55.05911437180375,1.0,0.0,29.74488129694222,1
53,4.5,5.0,180.0,270.0,0.7296127057214399,True,ok,False,0.7057620333421789,0.9493364113534473,0.6228813559322034,72.9628339984078,98.13040921422505,68.75342057355458,2.0,7350.232222784279,1.0,74.28566883028222,96.02557500836669,63.415715741239985,63.415715741239985,0.9180327868852459,0.3280442135393127,34.99202019855866,1
54,3.5,4.0,180.0,105.0,0.729364125344073,True,ok,False,0.7400199698667407,0.9514317190026663,0.5635593220338984,66.79640542398667,96.139866947467,67.78246376799147,5.0,6078.8893247134565,1.0,75.16051544243199,97.62814966858072,73.31913979816919,54.534256860546044,0.983739837398374,0.1635021147180776,32.005383208083494,1
55,3.5,4.0,150.0,225.0,0.7292790151702102,True,ok,False,0.7253741922652152,0.9304172223066572,0.6016949152542372,69.43264539226126,116.10363880867564,94.65605910951935,3.0,6446.321981226421,1.0,78.63159131150167,93.2598224733095,88.10069460064946,54.534256860546044,1.0,0.0,32.005383208083494,1
56,4.0,4.0,180.0,75.0,0.7238379722990553,True,ok,False,0.6993405952714036,0.949228203825242,0.614406779661017,74.11869285114736,98.23320636602016,68.12750053314363,2.0,8391.092750710113,1.0,69.7471300784372,90.0,50.99342839532221,68.2479618399894,0.9043478260869565,1.3938127818860506,36.86989764584402,1
57,3.5,4.5,150.0,75.0,0.7051709938987472,True,ok,False,0.7264397004315285,0.9470438540081343,0.5084745762711864,69.24085392232487,100.30833869227237,73.9428815484079,5.0,17851.004829413712,1.0,71.41389666889656,99.36233448138768,57.439677762650994,57.439677762650994,0.9918032786885246,0.1643648344623156,29.054604099077146,1
58,4.0,4.5,180.0,90.0,0.6938634397994415,True,ok,False,0.6484504303780625,0.939292817967306,0.6059322033898304,83.27892253194875,107.67182293105927,69.18749997997243,2.0,10285.879243991267,1.0,74.78302729394467,96.73292132685961,63.80808027748721,63.80808027748721,0.9298245614035088,1.2331854136644211,33.690067525979785,1
59,4.5,5.0,180.0,90.0,0.6652666286019258,True,ok,False,0.6404456653930438,0.9370833863066803,0.5254237288135593,84.71978022925211,109.77078300865367,67.35147975854991,4.0,10854.375337119736,1.0,74.28566883028222,96.02557500836669,63.415715741239985,63.415715741239985,0.7807017543859649,0.7066607433082783,34.99202019855866,1
60,4.0,4.0,180.0,90.0,0.6375764945277536,True,ok,False,0.577757960702015,0.929928248849832,0.5423728813559322,96.0035670736373,116.56816359265956,80.39975014249403,3.0,26547.061799431678,1.0,70.0,90.0,60.00000000000001,60.00000000000001,0.9655172413793104,0.1726973823879076,36.86989764584402,1
