rank,h_m,r_m,rel_az_deg,cam_c_h_m,score,valid,flag_reason,pareto,pose_fidelity,absolute_placement,stability,mpjpe_aligned_mm,mpjpe_mm,registration_offset_mm,id_drops,jitter_variance,joint_visibility_both,convergence_angle_deg,convergence_ab_deg,convergence_ac_deg,convergence_bc_deg,tilt_deg,n_subjects
49,3.0,3.5,180.0,6.5,0.7908360589810541,True,ok,False,0.727608574553681,0.9376798669244296,0.7983193277310925,69.03045658033741,109.20412642179187,88.67834555386365,6.0,10709.912396162807,1.0,65.86494047332737,98.79741070999107,49.39870535499553,49.39870535499553,29.74488129694222,1
50,3.5,4.5,150.0,7.0,0.7900087270395695,True,ok,False,0.7838254799933224,0.9505639688279873,0.6932773109243697,58.911413601201964,96.96422961341207,76.82594691319828,8.0,11821.979961698893,1.0,67.87078905973043,99.36233448138768,52.1250163489018,52.1250163489018,29.054604099077146,1
51,4.5,5.0,180.0,7.0,0.7892078260390709,True,ok,False,0.7169479648849424,0.9404339238653512,0.8088235294117647,70.94936632071037,106.5877723279164,86.88578139282892,6.0,9965.011964495352,1.0,64.01705000557779,96.02557500836669,48.01278750418334,48.01278750418334,34.99202019855866,1
52,2.5,3.5,150.0,6.0,0.7788484153288512,True,ok,False,0.7468054335475226,0.9305898373132645,0.73109243697479,65.57502196144596,115.93965455239865,95.94066807399203,8.0,7810.2601548828,1.0,70.85077026732831,103.6276663859337,54.46232220802562,54.46232220802562,23.198590513648185,1
53,4.0,4.0,180.0,6.5,0.7776407418268882,True,ok,False,0.707013625120373,0.9420982177620802,0.7857142857142857,72.73754747833286,105.00669312602366,81.28561867850857,6.0,12213.647937006339,1.0,60.0,90.0,45.00000000000001,45.00000000000001,36.86989764584402,1
54,3.5,4.0,180.0,5.5,0.775275000802863,True,ok,False,0.7515533714241422,0.9481218275547996,0.6995798319327732,64.72039314365439,99.28426382294037,79.52488013734717,9.0,6728.850182749521,1.0,65.08543311238715,97.62814966858072,48.81407483429036,48.81407483429036,32.005383208083494,1
55,3.0,3.5,150.0,7.0,0.7723708635408212,True,ok,False,0.7462414872803786,0.9405783305955959,0.7037815126050421,65.67653228953183,106.45058593418395,86.06683043396717,8.0,10619.646798006825,1.0,64.37978596182849,94.34194717549441,49.398705354995535,49.398705354995535,29.74488129694222,1
56,3.0,4.5,150.0,3.5,0.769271652277935,True,ok,False,0.7543919543973426,0.9362187115307726,0.6827731092436975,64.20944820847834,110.59222404576599,92.61914021608621,9.0,8427.51312923823,1.0,73.19647780794178,106.9695684757849,56.309932474020215,56.309932474020215,23.962488974578182,1
57,3.5,4.0,150.0,5.5,0.7687350044555723,True,ok,False,0.7479729367648065,0.9401292349876937,0.6890756302521008,65.36487138233483,106.87722676169095,89.48474045074302,9.0,7952.708452374692,1.0,63.629324047296734,93.2598224733095,48.81407483429036,48.81407483429036,32.005383208083494,1
58,3.0,4.5,150.0,4.5,0.7671081139648629,True,ok,False,0.7132627928273896,0.921081066747437,0.7542016806722689,71.61269729106989,124.97298658993488,103.81269769167636,6.0,15764.837997577179,1.0,73.19647780794178,106.9695684757849,56.30993247402022,56.30993247402022,23.962488974578182,1
59,3.5,4.5,150.0,3.5,0.7640779136067284,True,ok,False,0.7053503295156865,0.9257112232360224,0.7542016806722689,73.03694068717643,120.57433792577872,102.74584548114761,5.0,27454.94450056027,1.0,67.87078905973043,99.36233448138768,52.1250163489018,52.1250163489018,29.054604099077146,1
60,4.0,4.5,180.0,4.5,0.7619885472745573,True,ok,False,0.7150615945142347,0.9382551366418217,0.7226890756302522,71.28891298743775,108.65762019026943,87.69149729211136,7.0,13467.923188011557,1.0,64.4886142179064,96.73292132685961,48.366460663429805,48.366460663429805,33.690067525979785,1
61,3.5,4.5,180.0,6.0,0.758204870830528,True,ok,False,0.7493496761836033,0.9533644494079179,0.6428571428571428,65.11705828695143,94.30377306247809,72.59827637785844,10.0,11846.81384692164,1.0,69.50002179853574,104.2500326978036,52.1250163489018,52.1250163489018,29.054604099077146,1
62,3.0,4.5,180.0,7.0,0.7575622991939079,True,ok,False,0.7312120466228536,0.9356217155468591,0.6827731092436975,68.38183160788637,111.15937023048383,90.75446833432761,8.0,12427.64588074886,1.0,75.07990996536029,112.61986494804043,56.309932474020215,56.309932474020215,23.962488974578182,1
63,3.0,4.0,180.0,5.0,0.7557502333769424,True,ok,False,0.733327003751962,0.9496353381770761,0.6638655462184875,68.00113932464681,97.84642873177765,79.57917745195134,7.0,27110.914156241917,1.0,70.84013647220799,106.26020470831197,53.13010235415599,53.13010235415599,26.56505117707799,1
