h_m,r_m,rel_az_deg,tilt_deg,convergence_angle_deg,subject_pos_name,mpjpe_mm,mpjpe_aligned_mm,registration_offset_mm,pck30,pck50,detection_coverage,joint_visibility_cam_a,joint_visibility_cam_b,joint_visibility_either,joint_visibility_both,unique_contribution_cam_b,jitter_variance,id_drops,cam_c_h_m,joint_visibility_cam_c,unique_contribution_cam_c,convergence_ab_deg,convergence_ac_deg,convergence_bc_deg
3.5,4.0,180.0,32.005383208083494,65.08543311238715,center,95.47002522436946,63.10907670565232,75.35869874817077,0.07724137931034483,0.21977011494252874,1.0,1.0,1.0,1.0,1.0,0.0,5212.637815526996,4.0,6.0,1.0,0.0,97.62814966858072,48.81407483429036,48.81407483429036
3.5,4.0,180.0,32.005383208083494,65.08543311238715,center,107.72054364990247,77.20152309503547,78.46727674525556,0.07409224730127575,0.20902845927379785,1.0,1.0,1.0,1.0,1.0,0.0,15771.809079021685,6.0,6.5,1.0,0.0,97.62814966858072,48.81407483429036,48.81407483429036
3.5,4.0,180.0,32.005383208083494,65.08543311238715,center,92.1658631552549,58.986641250033244,75.95830140036645,0.06564102564102564,0.20358974358974358,1.0,1.0,1.0,1.0,1.0,0.0,4637.8054229587815,8.0,7.0,1.0,0.0,97.62814966858072,48.81407483429036,48.81407483429036
3.0,4.0,180.0,26.56505117707799,70.84013647220799,center,89.64495089197803,57.3330876443866,69.60385341147148,0.060651629072681706,0.21353383458646616,1.0,1.0,1.0,1.0,1.0,0.0,4589.279580371552,9.0,3.5,1.0,0.0,106.26020470831197,53.13010235415599,53.13010235415599
3.0,4.0,180.0,26.56505117707799,70.84013647220799,center,126.7727243666759,90.4290052012699,93.2653642144377,0.07797940166748406,0.24129475232957331,1.0,1.0,1.0,1.0,1.0,0.0,32777.38852014693,6.0,4.0,1.0,0.0,106.26020470831197,53.13010235415599,53.13010235415599
3.0,4.0,180.0,26.56505117707799,70.84013647220799,center,90.89447285570623,55.632319615968946,73.2170792050735,0.058823529411764705,0.21127450980392157,1.0,1.0,1.0,1.0,1.0,0.0,3270.188030707538,7.0,4.5,1.0,0.0,106.26020470831197,53.13010235415599,53.13010235415599
3.0,4.0,180.0,26.56505117707799,70.84013647220799,center,97.84642873177765,68.00113932464681,79.57917745195134,0.05621890547263682,0.21293532338308457,1.0,1.0,1.0,1.0,1.0,0.0,27110.914156241917,7.0,5.0,1.0,0.0,106.26020470831197,53.13010235415599,53.13010235415599
3.0,4.0,180.0,26.56505117707799,70.84013647220799,center,126.13420247858316,79.85213758731643,102.05741991852335,0.054982817869415807,0.19047619047619047,1.0,1.0,1.0,1.0,1.0,0.0,21575.452707383836,7.0,5.5,1.0,0.0,106.26020470831197,53.13010235415599,53.13010235415599
3.0,4.0,180.0,26.56505117707799,70.84013647220799,center,87.53930750916236,61.748845069487615,60.62919362724313,0.06529680365296804,0.23059360730593606,1.0,1.0,1.0,1.0,1.0,0.0,4517.199648040397,5.0,6.0,1.0,0.0,106.26020470831197,53.13010235415599,53.13010235415599
3.0,4.0,180.0,26.56505117707799,70.84013647220799,center,105.78732404122228,72.5237849653703,79.66545444474787,0.06896551724137931,0.2271264367816092,1.0,1.0,1.0,1.0,1.0,0.0,13464.452440249543,9.0,6.5,1.0,0.0,106.26020470831197,53.13010235415599,53.13010235415599
