h_m,r_m,rel_az_deg,cam_c_az_deg,worst_coverage,mean_coverage,blind_wedge_deg,baseline_worst,baseline_mean,delta_worst
3.0,4.0,150.0,270.0,0.25,0.7819010416666664,270.0,0.25,0.5677083333333333,0.0
3.0,4.0,150.0,285.0,0.25,0.7649739583333331,270.0,0.25,0.5677083333333333,0.0
3.0,4.0,150.0,300.0,0.25,0.7421874999999997,270.0,0.25,0.5677083333333333,0.0
3.0,4.0,150.0,315.0,0.25,0.7011718750000002,270.0,0.25,0.5677083333333333,0.0
3.0,4.0,150.0,330.0,0.25,0.6666666666666667,270.0,0.25,0.5677083333333333,0.0
3.0,4.0,150.0,345.0,0.25,0.6236979166666667,270.0,0.25,0.5677083333333333,0.0
4.0,4.5,180.0,15.0,0.25,0.4433593749999999,270.0,0.25,0.4036458333333336,0.0
4.0,4.5,180.0,30.0,0.25,0.48242187500000017,270.0,0.25,0.4036458333333336,0.0
4.0,4.5,180.0,45.0,0.25,0.5286458333333331,270.0,0.25,0.4036458333333336,0.0
4.0,4.5,180.0,60.0,0.25,0.5501302083333333,270.0,0.25,0.4036458333333336,0.0
4.0,4.5,180.0,75.0,0.25,0.5709635416666665,270.0,0.25,0.4036458333333336,0.0
4.0,4.5,180.0,90.0,0.25,0.5781249999999999,270.0,0.25,0.4036458333333336,0.0
4.0,4.5,180.0,105.0,0.25,0.5709635416666666,270.0,0.25,0.4036458333333336,0.0
4.0,4.5,180.0,120.0,0.25,0.5501302083333334,270.0,0.25,0.4036458333333336,0.0
4.0,4.5,180.0,135.0,0.25,0.5286458333333331,270.0,0.25,0.4036458333333336,0.0
4.0,4.5,180.0,150.0,0.25,0.48242187500000017,270.0,0.25,0.4036458333333336,0.0
4.0,4.5,180.0,165.0,0.25,0.44335937499999994,270.0,0.25,0.4036458333333336,0.0
4.0,4.5,180.0,195.0,0.25,0.443359375,270.0,0.25,0.4036458333333336,0.0
4.0,4.5,180.0,210.0,0.25,0.4824218750000001,270.0,0.25,0.4036458333333336,0.0
4.0,4.5,180.0,225.0,0.25,0.5286458333333333,270.0,0.25,0.4036458333333336,0.0
4.0,4.5,180.0,240.0,0.25,0.550130208333333,270.0,0.25,0.4036458333333336,0.0
4.0,4.5,180.0,255.0,0.25,0.5709635416666666,270.0,0.25,0.4036458333333336,0.0
4.0,4.5,180.0,270.0,0.25,0.5781249999999999,270.0,0.25,0.4036458333333336,0.0
4.0,4.5,180.0,285.0,0.25,0.5709635416666666,270.0,0.25,0.4036458333333336,0.0
4.0,4.5,180.0,300.0,0.25,0.5501302083333331,270.0,0.25,0.4036458333333336,0.0
