h_m,r_m,rel_az_deg,tilt_deg,convergence_angle_deg,subject_pos_name,mpjpe_mm,mpjpe_aligned_mm,registration_offset_mm,pck30,pck50,detection_coverage,joint_visibility_cam_a,joint_visibility_cam_b,joint_visibility_either,joint_visibility_both,unique_contribution_cam_b,jitter_variance,id_drops,cam_c_h_m,cam_c_az_deg,joint_visibility_cam_c,unique_contribution_cam_c,convergence_ab_deg,convergence_ac_deg,convergence_bc_deg,tag_visibility_ratio,detect_rate_cam_a,detect_rate_cam_b,detect_rate_cam_c,detect_rate_front,detect_rate_back,longest_blind_gap_s
3.5,5.0,180.0,26.56505117707799,83.87229337835534,center,86.17959312644754,57.48453557836308,66.29876208391681,0.05146198830409357,0.20584795321637428,1.0,1.0,1.0,1.0,1.0,0.0,2489.960162717166,3.0,nan,270.0,1.0,0.0,110.01595960288267,70.80046026609168,70.80046026609166,0.9912280701754386,0.5964912280701754,0.4824561403508772,0.49122807017543857,0.868421052631579,0.6403508771929824,0.17675281414943458
3.5,5.0,180.0,26.56505117707799,83.87229337835532,center,83.46692069087116,58.29738473064258,57.930089337547656,0.08869565217391304,0.2736231884057971,1.0,1.0,1.0,1.0,1.0,0.0,3019.8412223964624,2.0,nan,90.0,1.0,0.0,110.01595960288267,70.80046026609166,70.80046026609166,0.9391304347826087,0.6,0.4782608695652174,0.2782608695652174,0.48695652173913045,0.8434782608695652,0.34945950591773317
3.5,5.0,180.0,26.56505117707799,83.64015123119556,center,85.061801334843,56.53491810278016,66.34799975661885,0.07204301075268817,0.2086021505376344,1.0,1.0,1.0,1.0,1.0,0.0,2479.107859847171,4.0,nan,255.0,1.0,0.0,110.01595960288267,81.07421395713264,59.83028013357133,0.9838709677419355,0.6129032258064516,0.5241935483870968,0.47580645161290325,0.9354838709677419,0.6048387096774194,0.16243882101725757
3.5,5.0,180.0,26.56505117707799,83.64015123119555,center,107.24393223461952,67.66082872622069,83.70427845263134,0.044057971014492756,0.13797101449275362,1.0,1.0,1.0,1.0,1.0,0.0,5335.020405146849,1.0,nan,105.0,1.0,0.0,110.01595960288267,81.07421395713266,59.83028013357132,0.9304347826086956,0.6260869565217392,0.5304347826086957,0.3391304347826087,0.4956521739130435,0.9043478260869565,0.6973590599863153
4.5,5.0,180.0,34.99202019855866,74.28566883028222,center,98.13040921422505,72.9628339984078,68.75342057355458,0.048087431693989074,0.18032786885245902,1.0,1.0,1.0,1.0,1.0,0.0,7350.232222784279,2.0,nan,270.0,1.0,0.0,96.02557500836669,63.415715741239985,63.415715741239985,0.9180327868852459,0.4918032786885246,0.4098360655737705,0.36065573770491804,0.7377049180327869,0.5081967213114754,0.3280442135393127
4.5,5.0,180.0,34.99202019855866,74.28566883028222,center,109.77078300865367,84.71978022925211,67.35147975854991,0.056140350877192984,0.1760233918128655,1.0,1.0,1.0,1.0,1.0,0.0,10854.375337119736,4.0,nan,90.0,1.0,0.0,96.02557500836669,63.415715741239985,63.415715741239985,0.7807017543859649,0.4649122807017544,0.3508771929824561,0.17543859649122806,0.39473684210526316,0.5964912280701754,0.7066607433082783
4.5,5.0,180.0,34.99202019855866,74.03441540140204,center,85.0851544844492,65.54113443053528,58.98354495405089,0.08070175438596491,0.2771929824561403,1.0,1.0,1.0,1.0,1.0,0.0,5106.055300043072,1.0,nan,285.0,1.0,0.0,96.02557500836669,53.806951345726915,72.27071985011253,0.7105263157894737,0.4824561403508772,0.35964912280701755,0.12280701754385964,0.4649122807017544,0.49122807017543857,1.4053263031275927
4.5,5.0,180.0,34.99202019855866,74.03441540140203,center,115.39173289157655,65.08761701903619,96.15963774557868,0.02819332566168009,0.1144994246260069,1.0,1.0,1.0,1.0,1.0,0.0,3373.540925545444,1.0,nan,255.0,1.0,0.0,96.02557500836669,72.27071985011253,53.80695134572691,0.853448275862069,0.5086206896551724,0.3017241379310345,0.3448275862068966,0.6810344827586207,0.45689655172413796,0.6952801082445228
2.5,3.5,150.0,23.198590513648185,74.13471797383957,center,106.58515586774202,56.13180307896003,85.30354764427342,0.04927536231884058,0.14202898550724638,1.0,1.0,1.0,1.0,1.0,0.0,3108.4664229648265,0.0,nan,75.0,1.0,0.0,103.6276663859337,59.38824376779251,59.38824376779251,1.0,0.7652173913043478,0.7652173913043478,0.4782608695652174,0.591304347826087,1.0,0.0
2.5,3.5,150.0,23.198590513648185,73.96626236638936,center,87.89175831483367,53.505177303015806,66.5011458049066,0.04502923976608187,0.19707602339181288,1.0,1.0,1.0,1.0,1.0,0.0,7112.236118865206,4.0,nan,90.0,1.0,0.0,103.6276663859337,70.25480189943846,48.016318813795905,1.0,0.7807017543859649,0.7456140350877193,0.631578947368421,0.5877192982456141,0.9912280701754386,0.0
2.5,3.5,150.0,23.198590513648185,86.83584981411967,center,66.22688150977686,51.1611842780025,44.19213496348411,0.15087719298245614,0.38128654970760234,1.0,1.0,1.0,1.0,1.0,0.0,1966.0416397264528,0.0,nan,225.0,1.0,0.0,103.6276663859337,97.49163928863284,59.38824376779248,1.0,0.7807017543859649,0.7719298245614035,0.8596491228070176,1.0,0.956140350877193,0.0
2.5,3.5,150.0,23.198590513648185,73.96626236638934,center,86.83888098733534,47.26911943973869,73.94546833963064,0.05368731563421829,0.20235988200589972,1.0,1.0,1.0,1.0,1.0,0.0,2680.850375235927,2.0,nan,60.0,1.0,0.0,103.6276663859337,48.01631881379589,70.25480189943846,1.0,0.7699115044247787,0.7699115044247787,0.5663716814159292,0.5929203539823009,1.0,0.0
3.0,3.5,150.0,29.74488129694222,68.15339197303399,center,87.85840454960852,57.46244840421439,64.10349444303766,0.05964912280701754,0.24385964912280703,1.0,1.0,1.0,1.0,1.0,0.0,4731.828947378346,3.0,nan,75.0,1.0,0.0,94.34194717549441,55.05911437180377,55.05911437180377,1.0,0.7719298245614035,0.6842105263157895,0.5087719298245614,0.5789473684210527,0.9473684210526315,0.0
3.0,3.5,150.0,29.74488129694222,79.49661325933627,center,77.54771787467698,62.14038637899777,53.869759692970895,0.11644204851752021,0.34393530997304583,1.0,1.0,1.0,1.0,1.0,0.0,8722.693375413244,4.0,nan,225.0,1.0,0.0,94.34194717549441,89.08877823071066,55.05911437180375,1.0,0.7661290322580645,0.75,0.8145161290322581,0.9758064516129032,0.9274193548387096,0.0
3.0,3.5,150.0,29.74488129694222,67.96855104042366,center,96.99172578437617,61.0515129902079,74.21996820193262,0.05380116959064327,0.1935672514619883,1.0,1.0,1.0,1.0,1.0,0.0,5201.993777281054,2.0,nan,90.0,1.0,0.0,94.34194717549441,64.94238458169698,44.62132136407959,1.0,0.7807017543859649,0.7368421052631579,0.47368421052631576,0.5877192982456141,1.0,0.0
3.0,3.5,150.0,29.74488129694222,67.96855104042366,center,90.19879473872444,49.03018566929971,75.25079462560161,0.0471976401179941,0.19941002949852507,1.0,1.0,1.0,1.0,1.0,0.0,2457.8256423165853,3.0,nan,60.0,1.0,0.0,94.34194717549441,44.62132136407958,64.942384581697,1.0,0.7610619469026548,0.7433628318584071,0.5398230088495575,0.5752212389380531,1.0,0.0
