h_m,r_m,rel_az_deg,tilt_deg,convergence_angle_deg,subject_pos_name,mpjpe_mm,mpjpe_aligned_mm,registration_offset_mm,pck30,pck50,detection_coverage,joint_visibility_cam_a,joint_visibility_cam_b,joint_visibility_either,joint_visibility_both,unique_contribution_cam_b,jitter_variance,id_drops
2.5,3.5,90,23.198590513648185,70.25480189943846,center,99.57799471100964,57.32836524480721,81.73158147502147,0.02240943555181129,0.12103341757933164,1.0,1.0,1.0,1.0,1.0,0.0,3346.334776748204,3.0
2.5,3.5,120,23.198590513648185,89.61286340889626,center,109.58413858603186,64.88189288766782,92.98644282317787,0.038465851743860045,0.1442189077043849,1.0,1.0,1.0,1.0,1.0,0.0,8125.851257663919,1.0
2.5,3.5,150,23.198590513648185,103.6276663859337,center,95.67715246552245,52.11580478429599,80.5278893167381,0.05971739374229001,0.18145116070427272,1.0,1.0,1.0,1.0,0.9333333333333333,0.0,2507.952461835466,0.0
2.5,4.0,60,20.556045219583467,50.174658857227705,center,96.01956755579766,55.52423511990033,77.11061673355606,0.015697085630696522,0.10099021041971419,1.0,1.0,1.0,1.0,1.0,0.0,1821.4548416113125,7.0
2.5,4.0,90,20.556045219583467,73.68614022272233,center,102.14221894599797,57.488191329989704,84.93590201253527,0.019063638912251192,0.10927950658816933,1.0,1.0,1.0,1.0,1.0,0.0,3215.0366911928536,3.0
2.5,4.0,120,20.556045219583467,94.51106878031649,center,109.23967471084806,58.61226413906962,94.42548109950432,0.03504633529907329,0.1276046054479079,1.0,1.0,1.0,1.0,1.0,0.0,3917.9333110961265,1.0
2.5,4.0,150,20.556045219583467,109.99029470647366,center,99.11165718771692,54.015684645928175,83.27013560056878,0.05458650860852385,0.16731583403895003,1.0,1.0,1.0,1.0,0.8666666666666667,0.0,2736.774357335873,0.0
2.5,4.5,60,18.43494882292201,51.83526956247374,center,98.13530999152388,55.9805873610982,79.42317307036842,0.015792442188381276,0.09830795262267343,1.0,1.0,1.0,1.0,1.0,0.0,2027.3087718408012,17.0
2.5,4.5,90,18.43494882292201,76.3583229709878,center,102.16193261368846,58.101194851263756,84.99869702485356,0.0200278940027894,0.11163179916317992,1.0,1.0,1.0,1.0,1.0,0.0,3166.775232967201,0.0
2.5,4.5,120,18.43494882292201,98.40830462026815,center,116.4577366944976,57.70354882073354,102.47364234674397,0.029977628635346757,0.11717002237136466,1.0,1.0,1.0,1.0,1.0,0.0,3897.749074329771,8.0
2.5,4.5,150,18.43494882292201,115.20923155492801,center,104.80043055454986,56.31187523691358,88.18281977669922,0.05134515353207674,0.16141842384920857,1.0,1.0,1.0,1.0,0.8,0.0,2967.4765025884494,0.0
